Time;"S(0l)";"S(l/2)";"S(0l)An";"S(l/2)An";
3,05323e-06;0;0;0;0;
3,06235e-06;0;0;0;0;
3,07146e-06;0;0;0;0;
3,08057e-06;0;0;0;0;
3,08969e-06;0;0;0;0;
3,0988e-06;0;0;0;0;
3,10792e-06;0;0;0;0;
3,11703e-06;0;0;0;0;
3,12614e-06;0;0;0;0;
3,13526e-06;0;0;0;0;
3,14437e-06;0;0;0;0;
3,15349e-06;0;0;0;0;
3,1626e-06;0;0;0;0;
3,17171e-06;0;0;0;0;
3,18083e-06;0;0;0;0;
3,18994e-06;0;0;0;0;
3,19906e-06;0;0;0;0;
3,20817e-06;0;0;0;0;
3,21729e-06;0;0;0;0;
3,2264e-06;0;0;0;0;
3,23551e-06;0;0;0;0;
3,24463e-06;0;0;0;0;
3,25374e-06;0;0;0;0;
3,26286e-06;0;0;0;0;
3,27197e-06;0;0;0;0;
3,28108e-06;0;0;0;0;
3,2902e-06;0;0;0;0;
3,29931e-06;0;0;0;0;
3,30843e-06;0;0;0;0;
3,31754e-06;0;0;0;0;
3,32666e-06;0;0;0;0;
3,33577e-06;0;0;0;0;
3,34488e-06;0;0;0;0;
3,354e-06;0;0;0;0;
3,36311e-06;0;0;0;0;
3,37223e-06;0;0;0;0;
3,38134e-06;0;0;0;0;
3,39045e-06;0;0;0;0;
3,39957e-06;0;0;0;0;
3,40868e-06;0;0;0;0;
3,4178e-06;0;0;0;0;
3,42691e-06;0;0;0;0;
3,43602e-06;0;0;0;0;
3,44514e-06;0;0;0;0;
3,45425e-06;0;0;0;0;
3,46337e-06;0;0;0;0;
3,47248e-06;0;0;0;0;
3,4816e-06;0;0;0;0;
3,49071e-06;0;0;0;0;
3,49982e-06;0;0;0;0;
3,50894e-06;0;0;0;0;
3,51805e-06;0;0;0;0;
3,52717e-06;0;0;0;0;
3,53628e-06;0;0;0;0;
3,54539e-06;0;0;0;0;
3,55451e-06;0;0;0;0;
3,56362e-06;0;0;0;0;
3,57274e-06;0;0;0;0;
3,58185e-06;0;0;0;0;
3,59096e-06;0;0;0;0;
3,60008e-06;0;0;0;0;
3,60919e-06;0;0;0;0;
3,61831e-06;0;0;0;0;
3,62742e-06;0;0;0;0;
3,63654e-06;0;0;0;0;
3,64565e-06;0;0;0;0;
3,65476e-06;0;0;0;0;
3,66388e-06;0;0;0;0;
3,67299e-06;0;0;0;0;
3,68211e-06;0;0;0;0;
3,69122e-06;0;0;0;0;
3,70033e-06;0;0;0;0;
3,70945e-06;0;0;0;0;
3,71856e-06;0;0;0;0;
3,72768e-06;0;0;0;0;
3,73679e-06;0;0;0;0;
3,7459e-06;0;0;0;0;
3,75502e-06;0;0;0;0;
3,76413e-06;0;0;0;0;
3,77325e-06;0;0;0;0;
3,78236e-06;0;0;0;0;
3,79148e-06;0;0;0;0;
3,80059e-06;0;0;0;0;
3,8097e-06;0;0;0;0;
3,81882e-06;0;0;0;0;
3,82793e-06;0;0;0;0;
3,83705e-06;0;0;0;0;
3,84616e-06;0;0;0;0;
3,85527e-06;0;0;0;0;
3,86439e-06;0;0;0;0;
3,8735e-06;0;0;0;0;
3,88262e-06;0;0;0;0;
3,89173e-06;0;0;0;0;
3,90084e-06;0;0;0;0;
3,90996e-06;0;0;0;0;
3,91907e-06;0;0;0;0;
3,92819e-06;0;0;0;0;
3,9373e-06;0;0;0;0;
3,94642e-06;0;0;0;0;
3,95553e-06;0;0;0;0;
3,96464e-06;0;0;0;0;
3,97376e-06;0;0;0;0;
3,98287e-06;0;0;0;0;
3,99199e-06;0;0;0;0;
4,0011e-06;0;0;0;0;
4,01021e-06;0;0;0;0;
4,01933e-06;0;0;0;0;
4,02844e-06;0;0;0;0;
4,03756e-06;0;0;0;0;
4,04667e-06;0;0;0;0;
4,05578e-06;0;0;0;0;
4,0649e-06;0;0;0;0;
4,07401e-06;0;0;0;0;
4,08313e-06;0;0;0;0;
4,09224e-06;0;0;0;0;
4,10136e-06;0;0;0;0;
4,11047e-06;0;0;0;0;
4,11958e-06;0;0;0;0;
4,1287e-06;0;0;0;0;
4,13781e-06;0;0;0;0;
4,14693e-06;0;0;0;0;
4,15604e-06;0;0;0;0;
4,16515e-06;0;0;0;0;
4,17427e-06;0;0;0;0;
4,18338e-06;0;0;0;0;
4,1925e-06;0;0;0;0;
4,20161e-06;0;0;0;0;
4,21073e-06;0;0;0;0;
4,21984e-06;0;0;0;0;
4,22895e-06;0;0;0;0;
4,23807e-06;0;0;0;0;
4,24718e-06;0;0;0;0;
4,2563e-06;0;0;0;0;
4,26541e-06;0;0;0;0;
4,27452e-06;0;0;0;0;
4,28364e-06;0;0;0;0;
4,29275e-06;0;0;0;0;
4,30187e-06;0;0;0;0;
4,31098e-06;0;0;0;0;
4,32009e-06;0;0;0;0;
4,32921e-06;0;0;0;0;
4,33832e-06;0;0;0;0;
4,34744e-06;0;0;0;0;
4,35655e-06;0;0;0;0;
4,36567e-06;0;0;0;0;
4,37478e-06;0;0;0;0;
4,38389e-06;0;0;0;0;
4,39301e-06;0;0;0;0;
4,40212e-06;0;0;0;0;
4,41124e-06;0;0;0;0;
4,42035e-06;0;0;0;0;
4,42946e-06;0;0;0;0;
4,43858e-06;0;0;0;0;
4,44769e-06;0;0;0;0;
4,45681e-06;0;0;0;0;
4,46592e-06;0;0;0;0;
