Time;"U(l)";"U(l/2)";"U(l)A";"U(l/2)A";
2,66132e-06;9,95903e-05;0;9,98074e-05;0;
2,67044e-06;9,99324e-05;0;0,000100149;0;
2,67955e-06;0,000100275;0;0,000100491;0;
2,68867e-06;0,000100617;0;0,000100833;0;
2,69778e-06;0,000100959;0;0,000101175;0;
2,70689e-06;0,000101301;0;0,000101516;0;
2,71601e-06;0,000101643;0;0,000101858;0;
2,72512e-06;0,000101985;0;0,0001022;0;
2,73424e-06;0,000102327;0;0,000102542;0;
2,74335e-06;0,000102669;0;0,000102884;0;
2,75247e-06;0,000103012;0;0,000103226;0;
2,76158e-06;0,000103354;0;0,000103567;0;
2,77069e-06;0,000103696;0;0,000103909;0;
2,77981e-06;0,000104038;0;0,000104251;0;
2,78892e-06;0,00010438;0;0,000104593;0;
2,79804e-06;0,000104722;0;0,000104935;0;
2,80715e-06;0,000105064;0;0,000105276;0;
2,81626e-06;0,000105406;0;0,000105618;0;
2,82538e-06;0,000105749;0;0,00010596;0;
2,83449e-06;0,000106091;0;0,000106302;0;
2,84361e-06;0,000106433;0;0,000106644;0;
2,85272e-06;0,000106775;0;0,000106985;0;
2,86183e-06;0,000107117;0;0,000107327;0;
2,87095e-06;0,000107459;0;0,000107669;0;
2,88006e-06;0,000107801;0;0,000108011;0;
2,88918e-06;0,000108143;0;0,000108353;0;
2,89829e-06;0,000108486;0;0,000108694;0;
2,90741e-06;0,000108828;0;0,000109036;0;
2,91652e-06;0,00010917;0;0,000109378;0;
2,92563e-06;0,000109512;0;0,00010972;0;
2,93475e-06;0,000109854;0;0,000110062;0;
2,94386e-06;0,000110196;0;0,000110403;0;
2,95298e-06;0,000110538;0;0,000110745;0;
2,96209e-06;0,000110881;0;0,000111087;0;
2,9712e-06;0,000111223;0;0,000111429;0;
2,98032e-06;0,000111565;0;0,000111771;0;
2,98943e-06;0,000111907;0;0,000112112;0;
2,99855e-06;0,000112249;0;0,000112454;0;
3,00766e-06;0,000112591;0;0,000112796;0;
3,01677e-06;0,000112933;0;0,000113138;0;
3,02589e-06;0,000113275;0;0,00011348;0;
3,035e-06;0,000113618;0;0,000113822;0;
3,04412e-06;0,00011396;0;0,000114163;0;
3,05323e-06;0,000114302;0;0,000114505;0;
3,06235e-06;0,000114644;0;0,000114847;0;
3,07146e-06;0,000114986;0;0,000115189;0;
3,08057e-06;0,000115328;0;0,000115531;0;
3,08969e-06;0,00011567;0;0,000115872;0;
3,0988e-06;0,000116012;0;0,000116214;0;
3,10792e-06;0,000116355;0;0,000116556;0;
3,11703e-06;0,000116697;0;0,000116898;0;
3,12614e-06;0,000117039;0;0,00011724;0;
3,13526e-06;0,000117381;0;0,000117581;0;
3,14437e-06;0,000117723;0;0,000117923;0;
3,15349e-06;0,000118065;0;0,000118265;0;
3,1626e-06;0,000118407;0;0,000118607;0;
3,17171e-06;0,00011875;0;0,000118949;0;
3,18083e-06;0,000119092;0;0,00011929;0;
3,18994e-06;0,000119434;0;0,000119632;0;
3,19906e-06;0,000119776;0;0,000119974;0;
3,20817e-06;0,000120118;0;0,000120316;0;
3,21729e-06;0,00012046;0;0,000120658;0;
3,2264e-06;0,000120802;0;0,000120999;0;
3,23551e-06;0,000121144;0;0,000121341;0;
3,24463e-06;0,000121487;0;0,000121683;0;
3,25374e-06;0,000121829;0;0,000122025;0;
3,26286e-06;0,000122171;0;0,000122367;0;
3,27197e-06;0,000122513;0;0,000122708;0;
3,28108e-06;0,000122855;0;0,00012305;0;
3,2902e-06;0,000123197;0;0,000123392;0;
3,29931e-06;0,000123539;0;0,000123734;0;
3,30843e-06;0,000123881;0;0,000124076;0;
3,31754e-06;0,000124224;0;0,000124418;0;
3,32666e-06;0,000124566;0;0,000124759;0;
3,33577e-06;0,000124908;0;0,000125101;0;
3,34488e-06;0,00012525;0;0,000125443;0;
3,354e-06;0,000125592;0;0,000125785;0;
3,36311e-06;0,000125934;0;0,000126127;0;
3,37223e-06;0,000126276;0;0,000126468;0;
3,38134e-06;0,000126619;0;0,00012681;0;
3,39045e-06;0,000126961;0;0,000127152;0;
3,39957e-06;0,000127303;0;0,000127494;0;
3,40868e-06;0,000127645;0;0,000127836;0;
3,4178e-06;0,000127987;0;0,000128177;0;
3,42691e-06;0,000128329;0;0,000128519;0;
3,43602e-06;0,000128671;0;0,000128861;0;
3,44514e-06;0,000129013;0;0,000129203;0;
3,45425e-06;0,000129356;0;0,000129545;0;
3,46337e-06;0,000129698;0;0,000129886;0;
